,ticker,ceo,website,industry_category,industry_group,sec_filings
568,CXO,Timothy A. Leach,www.concho.com,Energy,Oil & Gas Drilling & Exploration,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CXO&owner=exclude&action=getcompany
569,CXP,E. N. Mills,www.columbiapropertytrust.com,Real Estate,REIT - Office,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CXP&owner=exclude&action=getcompany
570,CXW,Damon T. Hininger,http://www.cca.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CXW&owner=exclude&action=getcompany
571,CY,Hassane El-Khoury,www.cypress.com,Electronics,Semiconductor - Broad Line,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CY&owner=exclude&action=getcompany
572,CZR,Mark P. Frissora,www.caesarscorporate.com,Leisure,Resorts & Casinos,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CZR&owner=exclude&action=getcompany
573,D,Thomas F. Farrell,www.dom.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=D&owner=exclude&action=getcompany
574,DAL,Edward H. Bastian,www.delta.com,Transportation,Major Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DAL&owner=exclude&action=getcompany
575,DAN,James K. Kamsickas,www.dana.com,Automotive,Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DAN&owner=exclude&action=getcompany
576,DATA,Adam Selipsky,www.tableausoftware.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DATA&owner=exclude&action=getcompany
577,DBX,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DBX&owner=exclude&action=getcompany
578,DCI,Tod E. Carpenter,www.donaldson.com,Manufacturing,Diversified Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DCI&owner=exclude&action=getcompany
579,DCOM,Kenneth J. Mahon,www.dime.com,Banking,Savings & Loans,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DCOM&owner=exclude&action=getcompany
580,DCP,Wouter T. van Kempen,www.dcppartners.com,Energy,Oil & Gas Pipelines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DCP&owner=exclude&action=getcompany
581,DCPH,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DCPH&owner=exclude&action=getcompany
582,DDD,Vyomesh I. Joshi,www.3dsystems.com,Computer Hardware,Computer Peripherals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DDD&owner=exclude&action=getcompany
583,DDS,William Thomas Dillard,www.dillards.com,Retail,Department Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DDS&owner=exclude&action=getcompany
584,DE,Samuel R. Allen,www.deere.com,Manufacturing,Farm & Construction Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DE&owner=exclude&action=getcompany
585,DEA,William Cattell Trimble,www.easterlyreit.com,Real Estate,REIT - Office,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DEA&owner=exclude&action=getcompany
586,DECK,Dave Powers,www.deckers.com,Consumer NonDurables,Textile - Apparel Footwear & Accessories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DECK&owner=exclude&action=getcompany
587,DEI,Jordan L. Kaplan,www.douglasemmett.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DEI&owner=exclude&action=getcompany
588,DENN,John C. Miller,www.dennys.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DENN&owner=exclude&action=getcompany
589,DERM,Thomas G. Wiggans,www.dermira.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DERM&owner=exclude&action=getcompany
590,DF,Ralph P. Scozzafava,www.deanfoods.com,Food & Beverage,Dairy Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DF&owner=exclude&action=getcompany
591,DFIN,Daniel N. Leib,www.dfsco.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DFIN&owner=exclude&action=getcompany
592,DFS,David W. Nelms,www.discoverfinancial.com,Financial Services,Credit Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DFS&owner=exclude&action=getcompany
593,DG,Todd J. Vasos,www.dollargeneral.com,Retail,"Discount, Variety Stores",https://www.sec.gov/cgi-bin/browse-edgar?CIK=DG&owner=exclude&action=getcompany
594,DGX,Stephen H. Rusckowski,www.questdiagnostics.com,Health Services,Medical Laboratories & Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DGX&owner=exclude&action=getcompany
595,DHI,David V. Auld,www.drhorton.com,Materials & Construction,Residential Construction,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DHI&owner=exclude&action=getcompany
596,DHIL,Chris Bingaman,www.diamond-hill.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DHIL&owner=exclude&action=getcompany
