,ticker,fund_aum,asset_class,focus,development_level,region,is_levered,options_available
1325,QUS,104768750.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1326,SMCP,28378473.0,Equity,Small Cap,Blended Development,Global,0.0,0.0
1327,PAK,53042361.0,Equity,Broad Equity,Frontier Markets,Asia-Pacific,0.0,0.0
1328,JETS,105642388.0,Equity,Industrials,Blended Development,Global,0.0,1.0
1329,LRGF,1028988000.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1330,SMLF,103035750.0,Equity,Small Cap,Developed Markets,North America,0.0,0.0
1331,INTF,666936000.0,Equity,Broad Equity,Developed Markets,Developed Markets,0.0,0.0
1332,ISCF,34815000.0,Equity,Small Cap,Developed Markets,Developed Markets,0.0,0.0
1333,ACWF,55350000.0,Equity,Broad Equity,Blended Development,Global,0.0,0.0
1334,LRET,5584400.0,Real Estate,Real Estate,Developed Markets,North America,1.0,0.0
1335,SCIU,144809270.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1336,SCID,11045742.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1337,SCIJ,9224198.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,0.0
1338,SCIX,3771538.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,0.0
1339,YLCO,21173233.0,Equity,Theme,Blended Development,Global,0.0,0.0
1340,LABU,570167424.0,Equity,Health Care,Developed Markets,North America,1.0,1.0
1341,LABD,41455410.0,Equity,Health Care,Developed Markets,North America,1.0,1.0
1342,GUSH,154186066.0,Equity,Energy,Developed Markets,North America,1.0,1.0
1343,DRIP,49574830.0,Equity,Energy,Developed Markets,North America,1.0,1.0
1344,ICVT,300677000.0,Fixed Income,Convertibles,Developed Markets,North America,0.0,0.0
1345,PTNQ,241399203.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1346,PTMC,543262775.0,Equity,Mid Cap,Developed Markets,North America,0.0,0.0
1347,PTLC,1017240475.0,Equity,Large Cap,Developed Markets,North America,0.0,1.0
1348,CHAD,114786000.0,Equity,Large Cap,Emerging Markets,Asia-Pacific,0.0,1.0
1349,ISZE,5510000.0,Equity,Large Cap,Developed Markets,Global Ex-U.S.,0.0,0.0
1350,IVLU,161784000.0,Equity,Large Cap,Developed Markets,Global Ex-U.S.,0.0,0.0
1351,UBIO,52646420.0,Equity,Health Care,Developed Markets,North America,1.0,1.0
1352,ZBIO,5400014.0,Equity,Health Care,Developed Markets,North America,1.0,1.0
1353,JPN,20444579.0,Equity,Large Cap,Developed Markets,Asia-Pacific,0.0,0.0
1354,HTUS,79045019.0,Equity,Long/Short,Developed Markets,North America,0.0,0.0
1355,TPYP,132329080.0,Equity,Energy,Developed Markets,North America,0.0,0.0
1356,HEWU,16786000.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1357,HEWL,5390000.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1358,HEWP,35937000.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1359,HEWY,1414000.0,Equity,Large Cap,Developed Markets,Asia-Pacific,0.0,0.0
1360,HEWW,1945890.0,Equity,Large Cap,Emerging Markets,Latin America,0.0,0.0
1361,HAUD,1244500.0,Equity,Large Cap,Developed Markets,Asia-Pacific,0.0,0.0
1362,HEWC,9320500.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1363,HAWX,97363750.0,Equity,Large Cap,Blended Development,Global Ex-U.S.,0.0,0.0
1364,HSCZ,9375090.0,Equity,Large Cap,Developed Markets,Developed Markets,0.0,0.0
1365,HEWI,3350000.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1366,CIBR,616607056.0,Equity,Technology,Blended Development,Global,0.0,1.0
1367,CDL,146610620.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1368,CSB,45221618.0,Equity,Small Cap,Developed Markets,North America,0.0,0.0
1369,CSA,32510195.0,Equity,Small Cap,Developed Markets,North America,0.0,0.0
1370,KLDW,136241574.0,Equity,Broad Equity,Developed Markets,Developed Markets,0.0,0.0
1371,YLD,297324157.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1372,AGGY,381863090.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1373,ALTY,13586255.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1374,OUSA,487192500.0,Equity,Large Cap,Blended Development,Global Ex-U.S.,0.0,1.0
1375,MOTI,101568355.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1376,IPAY,355028210.0,Equity,Technology,Blended Development,Global,0.0,1.0
