,0,1
1038,ATRA,SPY
1039,ATRC,ABMD
1040,ATRC,COO
1041,ATRC,BSX
1042,ATRC,JNJ
1043,ATRC,TFX
1044,ATRC,EW
1045,ATRC,MDT
1046,ATRC,XLV
1047,ATRC,SPY
1048,ATRI,XLV
1049,ATRI,SPY
1050,ATRS,WST
1051,ATRS,BDX
1052,ATRS,JNJ
1053,ATRS,LLY
1054,ATRS,PFE
1055,ATRS,RVP
1056,ATRS,TEVA
1057,ATRS,ANIP
1058,ATRS,MYL
1059,ATRS,XLV
1060,ATRS,SPY
1061,ATSG,AIRT
1062,ATSG,AAWW
1063,ATSG,SINO
1064,ATSG,UPS
1065,ATSG,FDX
1066,ATSG,SPY
1067,ATU,SPY
1068,ATUS,SPY
1069,ATVI,XLK
1070,ATVI,SPY
1071,AVA,PCG
1072,AVA,BKH
1073,AVA,CMS
1074,AVA,IDA
1075,AVA,MDU
1076,AVA,NWE
1077,AVA,POR
1078,AVA,WEC
1079,AVA,XEL
1080,AVA,XLU
1081,AVA,SPY
1082,AVAV,LMT
1083,AVAV,AIR
1084,AVAV,BA
1085,AVAV,GD
1086,AVAV,NOC
1087,AVAV,TXT
1088,AVAV,SPR
1089,AVAV,HII
1090,AVAV,SPY
1091,AVB,ACEIY
1092,AVB,EQR
1093,AVB,MAA
1094,AVB,ESS
1095,AVB,UDR
1096,AVB,IRT
1097,AVB,SPY
1098,AVD,HWKN
1099,AVD,FMC
1100,AVD,SMG
1101,AVD,MBII
1102,AVD,SPY
1103,AVGO,XLK
1104,AVGO,NVDA
1105,AVGO,MU
1106,AVGO,LRCX
1107,AVGO,SWKS
1108,AVGO,SPY
1109,AVNS,XLV
1110,AVNS,SPY
1111,AVP,SPY
1112,AVT,INTC
1113,AVT,TAIT
1114,AVT,RELL
1115,AVT,TECD
1116,AVT,ARW
1117,AVT,IBM
1118,AVT,SNX
1119,AVT,HPQ
1120,AVT,XLK
1121,AVT,SPY
1122,AVX,MXWL
1123,AVX,BELFA
1124,AVX,LFUS
1125,AVX,APH
1126,AVX,VSH
1127,AVX,TEL
1128,AVX,KEM
1129,AVX,XLK
1130,AVX,SPY
1131,AVY,BMS
1132,AVY,MMM
1133,AVY,HUN
1134,AVY,ACCO
1135,AVY,SPY
1136,AWI,SPY
1137,AWK,XLU
1138,AWK,SPY
1139,AWR,YORW
1140,AWR,ARTNA
1141,AWR,CTWS
1142,AWR,MSEX
1143,AWR,CDZI
1144,AWR,PCYO
1145,AWR,CWT
1146,AWR,WTR
1147,AWR,AWK
1148,AWR,SJW
1149,AWR,XLU
1150,AWR,SPY
1151,AX,SPY
1152,AXDX,XLV
1153,AXDX,SPY
1154,AXE,PKOH
1155,AXE,FAST
1156,AXE,DXPE
1157,AXE,HWCC
1158,AXE,MSM
1159,AXE,AIT
1160,AXE,WCC
1161,AXE,GWW
1162,AXE,HDS
1163,AXE,SPY
1164,AXGN,BSX
1165,AXGN,TMO
1166,AXGN,MDT
1167,AXGN,XLV
1168,AXGN,SPY
1169,AXL,MGA
1170,AXL,STRT
1171,AXL,BWA
1172,AXL,SUP
1173,AXL,TEN
1174,AXL,DAN
1175,AXL,LEA
1176,AXL,SRI
1177,AXL,MLR
1178,AXL,TOWR
1179,AXL,SPY
1180,AXP,COF
1181,AXP,BAC
1182,AXP,JPM
1183,AXP,MA
1184,AXP,DFS
1185,AXP,V
1186,AXP,C
1187,AXP,SPY
1188,AXS,ACGL
1189,AXS,MHLD
1190,AXS,RNR
1191,AXS,SPY
1192,AXTA,FOE
1193,AXTA,PPG
1194,AXTA,RPM
1195,AXTA,SHW
1196,AXTA,SPY
1197,AYI,XLK
1198,AYI,SPY
1199,AYR,WLFC
1200,AYR,TGH
1201,AYR,AER
1202,AYR,CAI
1203,AYR,FLY
1204,AYR,ACY
1205,AYR,AL
1206,AYR,SPY
1207,AYX,XLK
1208,AYX,SPY
1209,AZO,MNRO
1210,AZO,PRTS
1211,AZO,HZO
1212,AZO,AAP
1213,AZO,ORLY
1214,AZO,SPY
1215,AZPN,XLK
1216,AZPN,SPY
1217,AZZ,POWL
1218,AZZ,AETI
1219,AZZ,NOV
1220,AZZ,RBC
1221,AZZ,VMI
1222,AZZ,AMSC
1223,AZZ,HUBB
1224,AZZ,SPY
1225,B,TGI
1226,B,BA
1227,B,CW
1228,B,GE
1229,B,KMT
1230,B,MLI
1231,B,TKR
1232,B,NPO
1233,B,HEI.A
1234,B,SPLP
1235,B,SPY
1236,BA,LMT
1237,BA,GD
1238,BA,GE
1239,BA,HON
1240,BA,NOC
1241,BA,TXT
1242,BA,UTX
1243,BA,RTN
1244,BA,SPR
1245,BA,ERJ
1246,BA,SPY
1247,BABY,XLV
1248,BABY,SPY
1249,BAC,TRMK
